trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",20,8,-37.686115666681495,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",25,0,-147.56469200299946,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",20,0,-43.57316432091118,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",20,0,-103.6671821565547,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",20,8,3.29793612713814,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.99, 'e': 0.6235253948912}",25,0,-57.36572105519878,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.99, 'e': 0.617290140942288}",20,0,-77.65243771678142,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.99, 'e': 0.611117239532865}",30,0,-85.22305402357304,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.99, 'e': 0.6050060671375364}",20,0,-64.08758246818473,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.99, 'e': 0.598956006466161}",25,18,10.415683198015985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",20,0,-90.07791284300964,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",25,11,5.484859623600668,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",20,12,-8.233315926977694,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",20,0,15.152679128400147,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",30,16,6.201850463035518,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.99, 'e': 0.5639051904523875}",20,0,-23.006658672206143,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
58,False,"{'a': 0.99, 'e': 0.5582661385478637}",30,9,-26.2622348733781,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 0}",1
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",20,14,-9.517556557327277,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",30,1,4.92676533321617,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",20,0,-16.85778166604029,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.99, 'e': 0.536268225207185}",25,0,-65.98651453149506,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",30,0,5.293431351511657,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.99, 'e': 0.525596487525562}",25,0,-34.18884769508946,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-31.16190726900525,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",20,0,-116.53430588320948,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",20,0,-9.690420768473947,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",25,8,-16.668072922910913,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",25,8,-111.63777691847424,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 2}",1
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",30,0,-0.5801392800783256,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.99, 'e': 0.4898902730042049}",20,13,-22.99162800970417,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.48499137027416284}",20,4,-72.17170567756116,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
73,False,"{'a': 0.99, 'e': 0.4801414565714212}",25,14,6.065269379410077,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.99, 'e': 0.47534004200570695}",30,22,11.870105089112405,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.99, 'e': 0.4705866415856499}",25,13,-42.04452055301,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
76,False,"{'a': 0.99, 'e': 0.46588077516979337}",20,0,-72.0521891588568,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.99, 'e': 0.46122196741809546}",25,13,17.007233536056724,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.99, 'e': 0.4566097477439145}",30,7,-55.02612092364181,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 0}",1
79,False,"{'a': 0.99, 'e': 0.45204365026647536}",30,15,-54.31940048904593,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.99, 'e': 0.4475232137638106}",20,0,-17.78435500509126,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.99, 'e': 0.4430479816261725}",25,7,-6.227825837609705,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.99, 'e': 0.43861750180991077}",30,0,-77.61234805162454,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
83,False,"{'a': 0.99, 'e': 0.43423132679181164}",25,0,1.426112518305818,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.99, 'e': 0.4298890135238935}",35,9,2.7589179560494053,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.4255901233886546}",25,10,-29.86361021613153,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.99, 'e': 0.421334222154768}",30,0,-88.99086199089709,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
87,False,"{'a': 0.99, 'e': 0.41712087993322033}",20,0,15.592675378136732,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.99, 'e': 0.41294967113388814}",20,10,16.941666342125412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
